Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID;;;;;;;;;;;;;;;;
"Yu, X., Xing, S., Yang, Y.,""59483162900";55584305000;59138549900;",The relationship between psychological capital and athlete burnout: the mediating relationship of coping strategies and the moderating relationship of perceived stress"",2025,""BMC Psychology"",""13"",""1"",""64"","""","""",,,""10.1186/s40359-025-02379-8"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216717704&doi=10.1186%2fs40359-025-02379-8&partnerID=40&md5=a6a301f57aa70758a9c1b6c71b9a512a"",Article,""Final"","""",Scopus,2-s2.0-85216717704";;;;;;;;;;;;;
"Kan, B., Xie, Y.,""58852010900";58852225500;",Impact of sports participation on life satisfaction among internal migrants in China: The chain mediating effect of social interaction and self-efficacy"",2024,""Acta Psychologica"",""243"",,""104139"","""","""",,4,""10.1016/j.actpsy.2024.104139"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183551483&doi=10.1016%2fj.actpsy.2024.104139&partnerID=40&md5=7c020e0c48a6d2a54ba05c0fb5b5af69"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85183551483";;;;;;;;;;;;;;
"Vathagavorakul, R., Gonjo, T., Homma, M.,""57216461428";56495455500;8087703900;",The influence of sound waves and musical experiences on movement coordination with beats"",2024,""Human Movement Science"",""93"",,""103170"","""","""",,1,""10.1016/j.humov.2023.103170"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178623652&doi=10.1016%2fj.humov.2023.103170&partnerID=40&md5=7bcfc5e01f1ecd0598763eed0ad10948"",Article,""Final"","""",Scopus,2-s2.0-85178623652";;;;;;;;;;;;;
"Dong, M., Niu, M., Jiang, Z., Choi, Y., Li, N.,""59648534700";59647636500;59647636600;59648753700;57220158776;",A study on the impact of sports participation support on the level of sports participation of urban junior high school girls in China"",2024,""Frontiers in Psychology"",""15"",,""1539415"","""","""",,,""10.3389/fpsyg.2024.1539415"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218683473&doi=10.3389%2ffpsyg.2024.1539415&partnerID=40&md5=f420af16aea350e7fdac3d225e4aa356"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85218683473";;;;;;;;;;;
"Zhang, H., Zagdkhorol, B.,""59538206900";59538063300;",Practical exploration of the impact of practicing fitness Qigong on the mental health of college students"",2024,""Environment and Social Psychology"",""9"",""10"",""3136"","""","""",,,""10.59429/esp.v9i10.3136"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216638249&doi=10.59429%2fesp.v9i10.3136&partnerID=40&md5=5aa510dc1a79cf693d2f9ad5621f9980"",Article,""Final"","""",Scopus,2-s2.0-85216638249";;;;;;;;;;;;;;
"Cheng, W., Jiao, L.,""59493260600";59274979000;",The mediation effect of peer relation and positive emotion between campus sports atmosphere and teenagers’ subjective well-being"",2024,""Frontiers in Psychology"",""15"",,""1471645"","""","""",,,""10.3389/fpsyg.2024.1471645"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213556565&doi=10.3389%2ffpsyg.2024.1471645&partnerID=40&md5=cf4d5287b9ae11394d59301a3410f6c8"",Article,""Final"","""",Scopus,2-s2.0-85213556565";;;;;;;;;;;;;;
"Chen, J., Lin, L.,""59482639900";59483203800;",The Influence of Digital Media on Students' Sports Behavior and Psychology"",2024,""Revista de Psicologia del Deporte"",""33"",""4"",,""22"",""30"",,,,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212789238&partnerID=40&md5=fcd28822d3166487e15345dce27f1fbe"",Article,""Final"","""",Scopus,2-s2.0-85212789238";;;;;;;;;;;;;;
"Koc, K., Yüce, M.S.,""57204889884";59483203700;",Examination of the Relationship Between Psychological Resilience and Prosociality Levels and Naturalistic Decision-Making Skills of Physical Education Sports Teachers"",2024,""Revista de Psicologia del Deporte"",""33"",""4"",,""12"",""21"",,,,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212784888&partnerID=40&md5=c412a1ade975f59e3822e0ae49807b3f"",Article,""Final"","""",Scopus,2-s2.0-85212784888";;;;;;;;;;;;;;
"Chang, W.,""57681970100";",The Impact of Tourism Destinations in Sports Events on the Mental Well-being of Tourists"",2024,""Revista de Psicologia del Deporte"",""33"",""4"",,""74"",""81"",,,,""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212781666&partnerID=40&md5=d995197b6c7f9629de3087ccf8e7366a"",Article,""Final"","""",Scopus,2-s2.0-85212781666";;;;;;;;;;;;;;;
"Latyshev, M., Holovach, I., Polianychko, O., Tropin, Y., Shtanagei, D., Lakhtadyr, O.,""57224454217";57193360961;57202818006;57189905178;59202413600;59465399900;",The Significance of U23 Competitions in Wrestling Career"",2024,""Studia Sportiva"",""18"",""2"",,""138"",""146"",,,""10.5817/StS2024-2-11"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211442112&doi=10.5817%2fStS2024-2-11&partnerID=40&md5=4cdcc46a45b6d9660bf7ca23c14df444"",Article,""Final"","""",Scopus,2-s2.0-85211442112";;;;;;;;;;
"Jung, M.K., Jung, T.G., Jeon, M.W., Lee, J.H.,""59459245100";57202437449;59460460800;57929591100;",The structural relationship of job stress, job satisfaction, organizational commitment, and turnover intention among youth sports education leaders in Korea"",2024,""Frontiers in Psychology"",""15"",,""1385993"","""","""",,,""10.3389/fpsyg.2024.1385993"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211082200&doi=10.3389%2ffpsyg.2024.1385993&partnerID=40&md5=6871ad592f5945b3e4211e27903eb9a2"",Article,""Final"",""All Open Access, Gold"",Scopus,2-s2.0-85211082200";;;;;;;;;;;;
"Pueyo, L., Murillo, V., Álvarez, J., Sarmiento, A., Amatria, M.,""59663341000";57221942078;36726151900;57221291262;57021876800;",Effect of match location on the playing style of teams coached by ‘Pep’ Guardiola"",2024,""Frontiers in Psychology"",""15"",,""1502199"","""","""",,,""10.3389/fpsyg.2024.1502199"",""https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210175387&doi=10.3389%2ffpsyg.2024.1502199&partnerID=40&md5=eed6c3a18de6721e670068c1e8eb1f35"",Article,""Final"","""",Scopus,2-s2.0-85210175387";;;;;;;;;;;
